SaleID,DateID,CarID,CustomerID,EmployeeID,Sale_amount,Profit,Quantity_sold
0,94,53,67,1007,1065831,132766.87,2
1,99,46,65,1005,1740101,105981.55,3
2,78,5,93,1010,1264623,129175.07,2
3,3,7,61,1009,2149183,199073.15,1
4,91,56,9,1004,1828168,150295.85,1
5,16,35,79,1009,937745,101779.53,3
6,48,76,67,1004,1481963,141337.1,3
7,12,89,14,1011,1702193,195908.23,3
8,55,57,29,1007,1250936,104944.98,2
9,53,93,12,1003,1636197,151636.85,3
10,47,19,87,1001,1334542,75686.32,1
11,55,12,95,1008,995517,86873.48,1
12,7,75,71,1002,1966794,163174.27,1
13,45,85,96,1007,1661528,227312.34,3
14,36,76,39,1009,907890,54800.29,3
15,19,84,61,1011,1246145,167889.98,2
16,47,14,97,1009,1966573,211229.61,2
17,98,79,78,1009,1976430,225846.49,1
18,84,88,34,1004,2077154,141332.9,3
19,43,44,0,1001,1447987,198354.34,3
20,51,8,18,1005,2178551,246867.3,1
21,95,67,27,1001,992429,91286.84,2
22,47,39,92,1002,1130111,144296.6,3
23,10,6,19,1011,2050371,257205.89,1
24,34,56,84,1008,971088,95716.43,2
25,34,27,96,1010,1668606,102421.96,2
26,36,86,86,1006,1032552,101874.96,3
27,5,28,50,1002,1446802,80265.96,1
28,27,98,17,1001,1432122,108199.61,2
29,0,63,95,1003,1051625,71057.75,2
30,90,29,64,1006,1916906,255591.47,2
31,50,94,5,1010,951153,49340.26,1
32,73,54,73,1009,1456535,176167.76,2
33,14,51,2,1003,1407157,94543.1,3
34,88,46,11,1010,1764893,237287.1,1
35,75,51,67,1007,1713679,153505.66,2
36,28,42,99,1007,1512010,87149.14,3
37,67,65,24,1010,1039131,88261.22,3
38,18,30,13,1003,2153592,162804.71,1
39,19,97,97,1003,2063322,118713.91,3
40,59,96,72,1006,1836238,198216.03,3
41,82,81,79,1001,1983825,270642.71,3
42,19,56,8,1008,1462991,137844.19,2
43,75,7,45,1011,1376032,79010.47,2
44,4,7,47,1007,1747732,100797.12,1
45,76,64,49,1005,2089766,225763.57,3
46,57,73,83,1007,886030,72789.74,2
47,19,7,57,1008,1851443,242718.03,2
48,64,82,22,1003,976851,73043.42,2
49,67,66,78,1011,1721534,148722.97,2
50,52,99,43,1009,1612471,177030.91,3
51,42,8,42,1008,2157497,228255.25,2
52,32,92,84,1009,1395899,191695.97,2
53,74,84,18,1003,970922,78667.18,3
54,50,16,76,1001,2188598,314720.87,2
55,48,82,42,1007,1972144,230763.8,3
56,11,82,85,1002,1903926,192008.75,1
57,39,23,27,1006,1560422,225897.34,2
58,28,17,19,1011,1202664,95707.05,1
59,98,69,94,1007,1864702,100273.88,2
60,16,76,48,1003,2096105,138813.97,3
61,21,92,56,1008,2110175,192207.11,3
62,56,78,36,1001,1298136,162077.02,2
63,68,30,39,1004,1290739,181216.44,1
64,86,73,56,1001,1571418,199481.86,2
65,67,53,20,1010,1854671,241340.77,1
66,6,82,61,1009,1324294,139652.2,1
67,15,36,10,1006,1881940,124266.82,2
68,18,55,11,1008,1876578,247089.64,2
69,53,6,50,1001,855931,74805.07,2
70,47,28,3,1008,971139,138953.08,3
71,42,18,17,1003,2163066,170207.21,2
72,97,90,60,1011,1091069,121692.19,1
73,32,27,19,1006,839854,120957.95,3
74,54,14,99,1006,1906817,140654.49,1
75,30,53,81,1008,900137,86153.34,1
76,76,68,2,1011,1848217,187663.47,1
77,37,54,0,1006,1101102,93903.74,3
78,23,85,85,1006,1673605,171290.89,2
79,67,69,64,1006,941933,99294.05,2
80,5,81,49,1009,1785944,134597.72,1
81,8,44,30,1011,1548880,179221.59,1
82,94,96,42,1009,2020339,109974.26,3
83,82,22,99,1003,1509985,145656.61,3
84,80,23,17,1003,1803552,219320.05,2
85,37,25,5,1010,877560,121611.42,2
86,65,50,69,1007,1450276,109251.29,3
87,36,45,99,1010,1200772,164001.23,2
88,15,47,55,1011,1372976,170703.16,2
89,23,63,88,1002,1511011,131057.07,3
90,10,93,54,1008,1359353,126502.36,1
91,37,41,13,1005,1943942,160942.83,2
92,57,77,91,1008,1442768,96181.37,2
93,57,5,93,1002,1537247,171380.21,2
94,81,7,9,1010,1375784,156497.15,2
95,95,86,20,1004,1876019,120586.65,3
96,4,16,8,1001,1718915,219765.93,2
97,49,72,4,1002,1559484,101902.64,2
98,47,56,97,1004,1577968,169461.42,3
99,50,40,83,1001,1569549,117655.22,1
